drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Sorafenib,Homologous recombination (HR) and Fanconi Anemia repair,-0.08444678480159214,-0.11316016251044632,0.006225903726304383,0.0002444104259311519,0.8155933881458741,0.0320177657969809,0.018967288096415676,0.0006157262653265558,0.017794764832273616,0.000960532973909427
Sorafenib,Immune system,-0.0031535444116523805,0.03444893795050987,0.9186571014308957,0.26523453417167264,1.0,1.0,0.9401881272456823,0.3406443527106776,0.94264292653353,0.3588198689482525
Sorafenib,NeST:80,0.047626163493291004,0.1376121755695799,0.12285603697785197,8.337673522929023e-06,1.0,0.001092235231503702,0.24760216683228628,3.03398675417695e-05,0.20415400647905213,5.1822881211949046e-05
Sorafenib,TGF-beta/Smad signaling,0.030531548157675035,0.0941436907815479,0.32260856535910065,0.002303248437955041,1.0,0.3017255453721104,0.46957468957824644,0.005113992294442549,0.43832382432541594,0.007044176156547324
Sorafenib,Extended PRC1 complex,0.12409748985617874,0.14794725904456635,5.8147854517631714e-05,1.6582438675527555e-06,0.0076173689418097545,0.00021722994664941098,0.0004480805259888091,7.758212380336107e-06,0.0003542962298516165,1.25930403854731e-05
Sorafenib,TNFR/Traf signaling,0.021005566543189958,0.16991747382647776,0.49617842999204287,3.7352589465911024e-08,1.0,4.893189220034344e-06,0.6294865239923013,2.7184384555746357e-07,0.6051733588972408,4.551803925613343e-07
Sorafenib,Lymphoid JAK/STAT signaling,-0.0013597216504679654,-0.021119525596015487,0.9648931553753413,0.49260616952539626,1.0,1.0,0.97231541041669,0.5710744089188222,0.9748149358933397,0.5848768115513013
Sorafenib,Positive regulators of transcription,0.12122937616602453,0.21367989204559842,8.590823544007975e-05,4.4935166698678586e-12,0.011253978842650447,5.886506837526895e-10,0.0006167311399166884,8.409295482181278e-11,0.0004983311664642265,1.4415935112310763e-10
Sorafenib,RTK-JAK-STAT signaling,0.012009921255371174,0.04755635330362279,0.6972030494763084,0.12386527841202222,1.0,1.0,0.8082619423132426,0.1763733855649447,0.7848554036908321,0.1960888395404823
Sorafenib,Nucleolus,-0.14517338444560127,-0.04192308507300928,2.5649997470456043e-06,0.1737822050285418,0.00033601496686297416,1.0,2.800124723858118e-05,0.23714030061186434,2.3442904664858664e-05,0.25627169446985715
Sorafenib,Mediator complex,0.03996768028935764,0.20223512436739394,0.1953901238625262,5.7560178845506016e-11,1.0,7.540383428761288e-09,0.35063159213686207,6.283652857301073e-10,0.29533968722297227,1.3306558991931684e-09
Sorafenib,G1/S phase,-0.08748056821461801,-0.07722617966593467,0.004598077146550139,0.01228399496903565,0.6023481061980682,1.0,0.014869306800950163,0.023664755013877502,0.01387366079534898,0.029754144978927644
Sorafenib,Polybromo- and BAF containing complex,-0.029872617513691573,-0.058743670832103724,0.3331959628169967,0.05676784830457593,1.0,1.0,0.4744420774894192,0.09069009912072497,0.4496000459642222,0.10328594622082565
Sorafenib,Nuclear pore,0.1812785298296338,0.1480610639048918,4.290185984245909e-09,1.6280353185571528e-06,5.620143639362141e-07,0.00021327262673098701,9.366906065603568e-08,7.758212380336107e-06,9.366906065603568e-08,1.2423648159086622e-05
Sorafenib,p53 regulation,-0.029905640971205384,-0.040021530928615615,0.33266179899740633,0.19409998558182284,1.0,1.0,0.4744420774894192,0.2568393748607959,0.4495861083424954,0.28044593505020726
Sorafenib,Cell projection morphogenesis,0.034141268576518585,0.03351309195194975,0.268705159781097,0.2784600869492828,1.0,1.0,0.43367551600751897,0.3507526095226543,0.37748392419650084,0.3725440482419341
Sorafenib,Histone methyltransferase complex,0.03290493350049243,0.012894173366871828,0.28642456144037576,0.6775667636128269,1.0,1.0,0.43880549360467674,0.7335640168039695,0.3977556630603098,0.7407058083444811
Erlotinib,Cell,-0.06944443846983998,-0.020978495946888144,0.023578035066216918,0.49352511797467447,1.0,1.0,0.0454223910834473,0.5575769623231059,0.05418811567849853,0.5848885693698292
Erlotinib,Signaling pathways,0.14469501254580966,0.05608660216812019,2.3828997484098835e-06,0.06743160959069394,0.00031215986704169474,1.0,1.2006148732372875e-05,0.09707187754264733,2.2165197659765307e-05,0.11897024722398528
Erlotinib,Chromatin binding,0.1242198654442145,0.18276904968267627,5.114625930868755e-05,2.513608432508363e-09,0.006700159969438069,3.2928270465859555e-07,0.00020303515058903238,2.7440225388216295e-08,0.0003177941487480507,3.951392455903146e-08
Erlotinib,CDK holoenzyme complex II,-0.06243842315251828,-0.06967165010491604,0.041799483086165434,0.023035012335556715,1.0,1.0,0.07020169595240604,0.03771983269947412,0.08456729396583278,0.05015379417104592
Erlotinib,MAPK and MAP2K activation,-0.0783216749070282,-0.020591259983256924,0.010668574984734613,0.5015308101976301,1.0,1.0,0.022406886903318143,0.5615430438964919,0.028045150294319084,0.5913555621838763
Erlotinib,Ubiquitin regulation of p53 activity,-0.13672526993567635,-0.1459333004626895,8.28934005769888e-06,1.934509579637478e-06,0.0010859035475585532,0.0002534207549325096,3.744494991581218e-05,7.919398591640925e-06,6.584130047757195e-05,1.4210509622383716e-05
Erlotinib,HDACs deacetylate histones,0.02360814245036906,0.03805377918996012,0.44132049100234516,0.21473841445980302,1.0,1.0,0.5403082646851142,0.2757914930807274,0.5541180605876092,0.3046649706956772
Erlotinib,EMT,-0.08951777170325653,-0.14242752222402819,0.003518208566525738,3.387509451391324e-06,0.46088532221487166,0.00044376373813226344,0.008534913374349475,1.3051874650948925e-05,0.011241105419874919,2.3458876024613044e-05
Erlotinib,Metabolic pathways,-0.1833163729346082,-0.0849445178485045,2.277932287242379e-09,0.005588747726752441,2.9840912962875166e-07,0.7321259522045698,2.9840912962875166e-08,0.01061052104644304,5.266043464036794e-08,0.01481536496872654
Erlotinib,CDK holoenzyme complex I,-0.16136678411424413,-0.16245039529842642,1.4328383013406665e-07,1.1652942255580001e-07,1.877018174756273e-05,1.52653543548098e-05,1.2513454498375155e-06,8.321459595547023e-07,2.011090901524578e-06,1.2212283483847842e-06
Erlotinib,Transcription factor (TF) binding,0.1045052903893401,0.09109147518451721,0.0006554911528506846,0.0029733480852547345,0.08586934102343968,0.3895085991683702,0.0018270072558178657,0.006601840663870682,0.0027625525262232604,0.008704102774712183
Erlotinib,Regulation of TP53 Activity,0.07833958006030665,0.06577199870396314,0.0106359368567428,0.03197857807433113,1.0,1.0,0.022406886903318143,0.049871353901635454,0.028045071957765184,0.06537103346274192
