drug,system,drpt_importance_score,drpt_importance_p_bonferroni_pearson,crispr_best_fdr,include_cnb,include_tmb,n_system_genes,n_features_tested,n_pairs_candidate,n_pairs_tested,n_pairs_skipped_low_pair_count,n_pairs_skipped_sparse_combo,n_pairs_failed,fdr_threshold,n_epistasis_pairs_fdr,n_epistasis_pairs_fdr05,epistasis_score_fraction_fdr,epistasis_score_fraction_fdr05,epistasis_score_fraction_tested_fdr,epistasis_score_mean_neglog10p,epistasis_score_hmp_p,epistasis_score_hmp_neglog10p,epistasis_score_max_neglog10p,max_neglog10p_pair,max_neglog10p_gene_1,max_neglog10p_alteration_type_1,max_neglog10p_gene_2,max_neglog10p_alteration_type_2,max_neglog10p_alteration_1,max_neglog10p_alteration_2,max_neglog10p_epistasis_p,max_neglog10p_epistasis_fdr,median_abs_interaction_beta,mean_delta_r2,epistasis_score_hmp_fdr,epistasis_score_hmp_qvalue,epistasis_score_hmp_neglog10q,epistasis_score_hmp_fdr_n_systems
Bleomycin-a2,NeST:195,-0.07431776713527,1.0,0.237029015088582,True,True,6,18,135,31,104,0,0,0.1,0,0,0.0,0.0,0.0,0.3976415030490217,0.2801449120431054,0.5526172607269118,1.3047571871889911,EGFR_amp x FGFR1_amp,EGFR,amp,FGFR1,amp,EGFR_amp,FGFR1_amp,0.04957272730496338,0.751863196067601,0.03332939183461111,0.0011388206655912909,0.30741565569331913,0.30741565569331913,0.5122740190480964,124
Bleomycin-a2,Nuclear pore,0.044511293780247,1.0,0.4252962504076479,True,True,5,15,90,17,73,0,0,0.1,0,0,0.0,0.0,0.0,0.3873175793723891,0.3089551065890284,0.5101046221192264,1.0409098897660904,TERT_amp x XPO1_amp,TERT,amp,XPO1,amp,TERT_amp,XPO1_amp,0.09101020869230314,0.7974704153088178,0.03164131955988646,0.001063974126324177,0.33605643172841687,0.33605643172841687,0.47358778829346393,124
Bleomycin-a2,Phosphatase 2A catalytic subunit,-0.0171778936977746,1.0,0.1419081585656429,True,True,5,15,90,17,72,1,0,0.1,0,0,0.0,0.0,0.0,0.3732013993533475,0.3415952898770211,0.4664881262573932,0.8527927022892059,PPP2CB_del x PPP2R1A_del,PPP2CB,del,PPP2R1A,del,PPP2CB_del,PPP2R1A_del,0.14034834562977616,0.6707338424842135,0.03206421963401257,0.0010068897984937394,0.36578155006066315,0.36578155006066315,0.4367782040234117,124
Bleomycin-a2,Culin-RIng uniqutin ligase complex,0.0498260408290541,1.0,0.0478160563154132,True,True,8,23,231,21,210,0,0,0.1,0,0,0.0,0.0,0.0,0.36694291714327415,0.34218274037933005,0.4657418999587283,0.8639505810354227,ELOC_amp x STK11_mut,ELOC,amp,STK11,mut,ELOC_amp,STK11_mut,0.13678844701896087,0.7488330635563782,0.03128638799964305,0.0009886750310599374,0.36578155006066315,0.36578155006066315,0.4367782040234117,124
Bleomycin-a2,Protein nuclear transport,0.0223147686971751,1.0,0.5511410188764981,True,True,6,18,135,22,113,0,0,0.1,0,0,0.0,0.0,0.0,0.3348074021021813,0.3532309792841984,0.45194121465793996,1.0409098897660904,TERT_amp x XPO1_amp,TERT,amp,XPO1,amp,TERT_amp,XPO1_amp,0.09101020869230314,0.9067350803810813,0.0268035947636103,0.0008730743265915104,0.3743644566772701,0.3743644566772701,0.4267053912418665,124
Bleomycin-a2,Extended cohesin complex,0.0701428937438027,1.0,0.0127014052567722,True,True,6,18,135,40,95,0,0,0.1,0,0,0.0,0.0,0.0,0.3137647905017208,0.408249631570148,0.38907419852546177,0.8783731613795143,SMC1A_del x STAG2_del,SMC1A,del,STAG2,del,SMC1A_del,STAG2_del,0.1323204102228357,0.9503846905868913,0.024060822541969656,0.0007712020366226286,0.42900808741269786,0.42900808741269786,0.3675345206693521,124
Bleomycin-a2,Cohesin,-0.0217226508929305,1.0,0.0386132213618355,True,True,5,15,90,24,66,0,0,0.1,0,0,0.0,0.0,0.0,0.3066962827203585,0.41215443478734204,0.38494002278058637,0.8783731613795143,SMC1A_del x STAG2_del,SMC1A,del,STAG2,del,SMC1A_del,STAG2_del,0.1323204102228357,0.9342312581942741,0.024060822541969656,0.0007489507682582608,0.429471848013701,0.429471848013701,0.36706529901088203,124
Bleomycin-a2,Interferon signaling,0.1163729213974198,0.1842730652067574,0.3250788117331274,True,True,8,24,252,9,231,12,0,0.1,0,0,0.0,0.0,0.0,0.34790168426189055,0.4166300297359578,0.38024943031098407,0.561002104412557,IRF2_del x TNF_amp,IRF2,del,TNF,amp,IRF2_del,TNF_amp,0.2747880837969021,0.6494466735069119,0.03835954472376986,0.0008210328296482815,0.43051769739382306,0.43051769739382306,0.3660089911963738,124
Bleomycin-a2,MHC class I including non-classical MHCs,-0.1823837880065774,7.42694647732911e-05,0.7677997855513848,True,True,8,24,252,29,210,13,0,0.1,0,0,0.0,0.0,0.0,0.30474428417481686,0.4257708562103611,0.37082406910764004,0.7518365114820724,HLA-E_del x TAP2_del,HLA-E,del,TAP2,del,HLA-E_del,TAP2_del,0.17707754345896687,0.9481277349948147,0.03274941414046124,0.0007376336636975241,0.43632715843045267,0.43632715843045267,0.36018775426185506,124
Bleomycin-a2,NeST:49,0.0271149123051533,1.0,0.4718099527574322,True,True,8,23,231,17,214,0,0,0.1,0,0,0.0,0.0,0.0,0.2479679179436387,0.49976911943050845,0.3012305822937192,0.6853169933419758,FLT1_del x VSIR_del,FLT1,del,VSIR,del,FLT1_del,VSIR_del,0.20638731763184492,0.9772764980273639,0.024483382446879882,0.0005607568699989867,0.5079620558146152,0.5079620558146152,0.2941687278062323,124
