drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Bleomycin-a2,Transcription,0.09097883776286908,0.09243040485833642,0.012536382510332622,0.011168843831156572,1.0,1.0,0.03351563487456272,0.02868859886042178,0.03220129625203085,0.02743347266027833
Bleomycin-a2,Nuclear receptor signaling,0.05196162700037623,0.000546516657910316,0.15376357099847593,0.9868372681102333,1.0,1.0,0.2643760596484556,0.9932944506386527,0.2552442804747668,0.9925196324179698
Bleomycin-a2,Culin-RIng uniqutin ligase complex,0.04982604082905411,-0.03719979113531645,0.17138091474416806,0.30816110013188913,1.0,1.0,0.27379146135958554,0.4387946099704073,0.2768867399566621,0.4245655121887202
Bleomycin-a2,Actin and actin-associated proteins,-0.035130285242411075,0.03584739160945412,0.33568614247480655,0.3246278654120551,1.0,1.0,0.4441907541838349,0.45240691881892786,0.4550536711695303,0.43867261373001454
Bleomycin-a2,Mitosis,-0.11617805788319445,-0.14683079476147443,0.001442500442132122,5.6526350961538796e-05,0.18896755791930797,0.007404951975961582,0.006298918597310266,0.0004628094984975989,0.005261277714690709,0.00027174135691602135
Bleomycin-a2,PcG protein complex,0.11750843580283123,0.11078787770204337,0.0012622405395161795,0.0023578104895787266,0.16535351067661952,0.3088731741348132,0.005905482524164983,0.009084505121612152,0.00475999109107982,0.007089445161696675
Bleomycin-a2,Protein nuclear transport,0.02231476869717515,0.08219690318424862,0.5398123841024489,0.024032404944484664,1.0,1.0,0.6555730048718851,0.05523236925837704,0.6462947965034651,0.05218085714465455
Bleomycin-a2,Metabolism,0.11869956293114743,0.1299429331350971,0.0011255519818753612,0.0003617209291311152,0.14744730962567232,0.04738544171617609,0.005550658854769459,0.0020285186893385654,0.004326082434005056,0.0013936894622404734
Bleomycin-a2,Regulation of nuclear protein ubiquitiation,-0.10057278264753854,-0.06337343898248943,0.005816891434394789,0.08235658102688448,0.7620127779057173,1.0,0.018143161378707556,0.16102555394808754,0.01680910539497906,0.1440095054218714
Bleomycin-a2,EGFR-MAPK signaling,0.05113632178423067,0.07631560290711309,0.16040121328813006,0.03614834550360668,1.0,1.0,0.2659817587436081,0.08164540105124957,0.26320533119931155,0.07281980219853107
