gene,D_used,p_hmp,p_bonf_hmp,is_sig_hmp_bonf,small_systems,num_small_systems,important_systems_matched,num_important_systems_matched,sig_drugs,n_sig_drugs,is_important
XPA,12,3.5278477443529415e-10,2.5329946804454123e-07,True,RPA complex associated proteins,1,RPA complex associated proteins,1,Doxorubicin;Etoposide;MK-1775;Olaparib,4,True
SMAD4,12,1.0097486224045295e-09,7.249995108864521e-07,True,Foxo signaling;INSR-FOXO;SMAD-TGFbeta signaling;TGF-beta/Smad signaling,4,INSR-FOXO,1,Doxorubicin;Etoposide;MK-1775;Olaparib,4,True
CKS1B,12,6e-300,4.3080000000000005e-297,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;G1/S phase;Mismatch and excision repair;Mitosis,7,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1/S phase,4,5-FU;Bleomycin-a2;Doxorubicin,3,True
CCNE1,12,1.2e-299,8.616000000000001e-297,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase;Mismatch and excision repair;Mitosis,8,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase,5,Doxorubicin;Etoposide;Methotrexate,3,True
CTNNB1,12,1.2e-299,8.616000000000001e-297,True,Beta-catenin;Beta-catenin destruction complex;Checkpoint-regulated DNA repair;Chromatin binding;EGFR/PI3K signaling;EMT;G1/S phase;H3 acetylation and H3K4 methylation crosstalk;Histone methyltransferase complex;Neg Regulation EGFR;Regulation of adherens junction stability;Regulation of beta catenin transcription;Regulation of beta catenin transcriptional activity;Transcription factor (TF) binding;Wnt/beta-catenin,15,Chromatin binding;EMT;G1/S phase;H3 acetylation and H3K4 methylation crosstalk;Regulation of beta catenin transcriptional activity;Transcription factor (TF) binding,6,Doxorubicin;Etoposide;Gemcitabine,3,True
FCGR2A,12,1.2e-299,8.616000000000001e-297,True,Cell motility;Immune system;Lymphocyte activation;NeST:16,4,NeST:16,1,Doxorubicin;Etoposide;Gemcitabine,3,True
HDAC1,12,1.2e-299,8.616000000000001e-297,True,Checkpoint-regulated DNA repair;Chromatin binding;EMT;Epigenetic modification;G1/S phase;HDACs deacetylate histones;Histone acetyltransferase complex;Histone deacetylase binding;Mitosis;Nucleolus;PML body;Positive regulators of transcription;Regulation of TP53 Activity;SMAD-TGFbeta signaling;Transcription factor (TF) binding;p53 regulation,16,Chromatin binding;EMT;Epigenetic modification;G1/S phase;Histone deacetylase binding;Positive regulators of transcription;Transcription factor (TF) binding,7,5-FU;Ceralasertib;Doxorubicin,3,True
ATR,12,2.664529835527245e-15,1.913132421908562e-12,True,MDM2-p53 pathway;Mitosis;RPA complex associated proteins,3,RPA complex associated proteins,1,Doxorubicin;Etoposide;Gemcitabine,3,True
DNMT3B,12,2.6645351674380995e-15,1.9131362502205554e-12,True,Chromatin binding;Epigenetic modification,2,Chromatin binding;Epigenetic modification,2,5-FU;Bleomycin-a2;Ceralasertib,3,True
XPC,12,2.28924484019026e-14,1.6436777952566066e-11,True,Histone modifications in DNA damage response;Nucleolus;RNA processing 1;RPA complex associated proteins;Ribosome abundance control;Ribosome biogenesis,6,RNA processing 1;RPA complex associated proteins,2,CD437;Doxorubicin;Gemcitabine,3,True
BUB1B,12,4.263246042817343e-14,3.0610106587428524e-11,True,Checkpoint-regulated DNA repair;Chromosome centrometric region;G1/S phase;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;Mismatch and excision repair;Mitosis;Resolution of D-loop structures,8,Chromosome centrometric region;G1/S phase;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair,4,5-FU;Doxorubicin;Etoposide,3,True
BCLAF1,12,6.6946714607514386e-12,4.806774108819533e-09,True,Chromatin binding;RNA metabolism;RNA processing 1;RNA processing 2;Regulation of mRNA processing,5,Chromatin binding;RNA processing 1;Regulation of mRNA processing,3,Doxorubicin;Etoposide;Gemcitabine,3,True
TERT,12,1.9238528636881664e-11,1.3813263561281034e-08,True,Checkpoint-regulated DNA repair;Chromatin binding;Epigenetic modification;Histone acetyltransferase complex;Mismatch and excision repair;Nuclear pore;Nuclear transport;Nucleolus;PML body;Positive regulators of transcription;Protein nuclear transport;RNA processing 1;Ribosome abundance control;Transcription elongation,14,Chromatin binding;Epigenetic modification;Nuclear pore;Positive regulators of transcription;RNA processing 1;Transcription elongation,6,CD437;Doxorubicin;MK-1775,3,True
PML,12,2.4760209039814043e-11,1.7777830090586482e-08,True,HDACs deacetylate histones;Interferon signaling;NeST:163;PML body;Positive regulators of transcription;Regulation of TP53 Activity;Transcription factor (TF) binding;Type I interferon signaling pathway,8,Positive regulators of transcription;Transcription factor (TF) binding,2,CD437;Doxorubicin;MK-1775,3,True
