Current Name,NEST ID,New Name,Important,Direct Genes
Ubiquitin regulation of p53 activity,NEST:105,Ubiquitin regulation of p53 activity,1,"CUL3,ELOC,FBXW7,HSP90AA1,MDM2,SKP1,STK11,TNF,VHL"
Wnt/beta-catenin,NEST:174,Extended beta-catenin destruction complex,0,"AKT1,AXIN2,PPP1CA"
Ubiquitin/Proteasome System,NEST:32,Ubiquitination and neddylation,0,"AURKB,CCND1,ETV4,ETV5,FBXO11,PRAME,RIT1,TP53"
MAPK and MAP2K activation,NEST:104,MAPK and MAP2K activation,0,"CDC25A,HDAC4,HDAC5,MAP2K2,MYC,STAT3,STAT5A"
Regulation of beta catenin transcription,NEST:182,Beta-catenin-TCF complex,0,"APC,CTNNA1,CTNNB1,EGFR,ERBB2,HDAC2,TCF7L2"
Apoptosis Regulation,NEST:47,Regulation of apoptosis,1,"BCL2,BCL2L1,BCL2L11,BCL2L2,CASP8,FAS,IFNGR1,MCL1,MS4A1,PARP1,PTPN13,TBX3,TP53"
TGF-beta/Smad signaling,NEST:81,TGF-beta pathway/SMAD protein complex,0,"PIAS4,PTEN,SMAD2,SMAD3,SMAD4,TGFBR1,TGFBR2"
Oncogene induced senescence,NEST:199,Oncogene induced senescence,0,"E2F1,E2F2,E2F4,MDM2,RB1,TFDP1,TP53"
RNA processing 2,NEST:26,Spliceosomal-snRNP complex,0,"BCLAF1,CASP8,CREBBP,EWSR1,FUS,SRSF2,TNF,U2AF1,UPF1"
NeST:49,NEST:49,NEST:49,0,VSIR
Regulation of TP53 Activity,NEST:117,Regulation of TP53 Activity,0,"BRCA1,CHEK1,EP300,HDAC1,IKZF1,JUN,MDM2,PARP1,PML,SMARCA4,TP53"
Contractile fiber,NEST:27,Contractile fiber,0,"C8orf34,CBL,GALNT12,MYOD1,TPM1"
Extracellular matrix,NEST:31,Extracellular matrix,1,"CD276,GREM1"
Regulation of mRNA processing,NEST:39,Regulation of RNA splicing,1,"BCLAF1,CASP8,RBM10,SF1,SPEN,SRSF2,U2AF1"
MHC class I including non-classical MHCs,NEST:202,MHC class I including non-classical MHCs,0,"B2M,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TAP2"
Spliceosomal complex,NEST:35,Spliceosomal complex,0,"CDC73,PRPF40B,RBM10,SF1,SF3B1,ZRSR2"
Cell-extracellular matrix interactions,NEST:54,Cell-extracellular matrix interactions,0,"ACTA2,CASR,MYH11,PALLD,TPM1"
Actin cytoskeleton,NEST:48,Actin cytoskeleton,0,"MYH11,NFE2L2,PIK3CA,PPP1CB,TPM1"
Actin filaments,NEST:40,Actin filaments,0,"ACTA2,PALLD,TNF"
MutL alpha/beta complex,NEST:277,MutL alpha/beta complex,1,"BRCA1,BRIP1,MLH1,PMS1,PMS2"
MutS homologs,NEST:231,MutS homologs,0,"MLH1,MSH2,MSH3,MSH6,PMS2"
Homologous recombination,NEST:130,Homologous recombination,1,"CHEK1,TOP2A,WRN"
Chromosome centrometric region,NEST:59,Chromosome centrometric region,1,"AURKA,AURKB,BUB1B,CHEK1,MKI67,RAD51,TOP2A"
Protein nuclear transport,NEST:69,SUMOylation for nuclear transport,0,DAXX
Actin and actin-associated proteins,NEST:63,Actin and actin-associated proteins,1,"CBL,MYH11,PIK3CA,PPP1CB,TPM1"
Type I interferon signaling pathway,NEST:43,Type I interferon signaling pathway,0,"IFIT1,IFIT2,IFIT3,PML,TAP1,TAP2,TNF"
ECM-cytoskeleton assembly,NEST:51,ECM-cytoskeleton assembly,1,"ACTA2,FANCC,FGF10,PALLD,PDGFRB,TNF"
CDK holoenzyme complex II,NEST:102,CDK holoenzyme complex II,1,"CDK5,CDKN1C,CKS1B,HLA-A"
RBL-TP53 complex,NEST:293,RBL-TP53 complex,0,"E2F1,E2F4,RBL1,RBL2,TP53"
CDK holoenzyme complex I,NEST:110,CDK holoenzyme complex I,1,"CKS1B,RB1"
G1/S phase,NEST:91,G1/S phase,1,"BRCA1,BUB1B,CCND1,CCNE1,CDKN1B,CDKN2A,CKS1B,CTNNB1,E2F1,HDAC1,HLA-A,MYC,RB1,TOP2A"
Extended PRC1 complex,NEST:82,Extended PRC1 complex,1,"BCOR,BCORL1,E2F6,EED,EZH2,MGA,TFDP1,TNF"
NeST:80,NEST:80,NEST:80,0,"ERG,FLT1,FLT4,KDR,NOTCH4,SH2B3,VEGFA"
Regulation of androgen receptor signaling pathway,NEST:210,Regulation of androgen receptor signaling pathway,0,"ANKRD11,CREBBP,NCOA3,NCOR1,NCOR2"
Regulation of E2F transcription via DREAM complex,NEST:119,Regulation of E2F transcription via DREAM complex,0,"E2F3,E2F5"
Histone methyltransferase subcomplex,NEST:133,Histone methyltransferase subcomplex,1,"EP300,KDM6A,KMT2A,KMT2B,KMT2D,MEN1"
BAF (SWI/SNF) complex,NEST:129,BAF (SWI/SNF) complex,0,"ARID1A,ARID1B,ARID2,PBRM1,SMARCA4,SMARCB1,SMARCE1,SOX2"
Transcription coactivator activity,NEST:165,Transcription coactivator activity,1,"E2F1,HIST3H3,MED1,TAF1,TP53"
Nuclear pore,NEST:93,Nuclear pore complex,1,"NUP93,NUP98,RANBP2,TERT,XPO1"
Locomotion,NEST:14,Cytoskeleton,0,"ARHGAP26,CDH1,CHEK2,DNM2,EGFR,ESR1,GNA11,GNA13,GNAQ,GNAS,HSP90AA1,LATS1,LMNA,MAPK1,PAK1,PAK3,PIK3R1,PREX2,RHOA,RHPN2,SLIT2,SPRED1"
MDM2-p53 pathway,NEST:186,MDM2-p53 pathway,0,"ATM,ATR,CDKN1A,CHEK2,MDM2,MDM4,RB1,TP53"
p53 regulation of cell cycle,NEST:177,p53 regulation of cell cycle,1,"CDKN1A,CREBBP,EP300,RBL1,TP53"
Histone modifications in DNA damage response,NEST:158,Histone modifications in DNA damage response,0,"CASP8,CTCF,HIST1H1C,HIST1H1E,PARP1,XPC"
Histone acetyltransferase complex,NEST:57,Histone acetyltransferase complex,0,"DKC1,HDAC1,HDAC2,KAT6A,KDM5A,MAX,MYC,MYCL,MYCN,PALB2,TERT,TNF,UPF1,YEATS4"
Chromatin binding,NEST:10,Chromatin binding,1,"ATRX,CDK12,CHD2,CTCF,HIST1H1E,MDM2,PPP1CC,PTPN11,RANBP2,RSF1,TAF1,TOP1,TOP2A,WRN,XPO1,XRCC1,YEATS4"
Extracellular matrix organization,NEST:20,Extracellular matrix organization,1,"DMD,DPYD,ENG,FOXA1,INHBA"
NeST:16,NEST:16,Angiogenesis,1,"ADGRA2,ARID5B,CBR3,EBF1,EGF,EPCAM,FCGR2A,FGF10,FGF19,NEGR1,PREX2,RET,SETBP1,SOX17"
Mediator complex,NEST:90,Mediator complex,1,"CDK8,ESR1,FBXW7,MED1,MED12,RARA"
Positive regulators of transcription,NEST:85,Positive regulators of transcription,1,"AR,BCL6,CREBBP,EP300,HDAC1,HDAC2,KAT6A,MYC,PML,RUNX1,TBL1XR1,TERT,TNF,TP53,YEATS4"
NeST:78,NEST:78,NEST:78,0,"ASXL2,ATRX,CDK12,GATA1,MGA,NF1,NSD1,RSF1,SETD2,SPEN"
PcG protein complex,NEST:66,PcG protein complex,1,CHD2
Metabolic pathways,NEST:11,Metabolic pathways,0,"APOB,ATP7B,CD276,CYP1B1,CYP2D6,CYP3A5,GPC3,HNF1A,HNF1B,IDH1,MST1,TPMT"
Actin filament-based process,NEST:23,Actin filament-based process,1,RAC1
PML body,NEST:123,PML body,0,"CREBBP,DAXX,EP300,HDAC1,NPM1,PARP1,PML,RB1,TERT"
Transcription factor (TF) binding,NEST:112,Androgen receptor (AR) signaling pathway,1,"AR,CHD4,CREBBP,CTNNB1,DAXX,EP300,HDAC1,HDAC2,MYB,PML,RB1,RBL1,REL,SMAD2"
Ribosome abundance control,NEST:33,Ribosome abundance control,0,"CDC73,CHEK2,DKC1,FUS,HRAS,NPM1,RHOA,RPL5,SF3B1,TERT,TNF,XPC"
Ribosome biogenesis,NEST:13,Ribosome biogenesis,0,"ASNS,CHEK2,CTCF,DDX3X,DIS3,DKC1,FOXL2,HRAS,NHP2,NPM1,NSD2,PA2G4,PELP1,PHB2,RPL5,RPS15,SHQ1,XPC"
Lymphocyte activation,NEST:25,Lymphocyte activation,0,"BTK,CD22,CD40,CIITA,CSF1R,CTLA4,FCGR2A,FCGR3A,FYN,HAVCR2,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IKZF1,IKZF3,KIT,LYN,PDCD1,PIK3CD,PTPN22,SH2D1A,SYK,TAP1,TIGIT"
Regulation of immune responses,NEST:18,Regulation of immune responses,0,"BIRC3,CARD11,CD19,CD274,CD40,CD70,CD79A,CD79B,CIITA,CTLA4,CXCR4,FLT3,GATA3,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,IDO1,IKZF1,IKZF3,IL15,IL7R,IRF1,IRF4,JAK3,KLHL6,LAG3,MS4A1,P2RY8,PDCD1,PDCD1LG2,PHOX2B,PRF1,PTPN22,SH2D1A,STAT4,TIGIT,TNFRSF14,TNFRSF17,TNFRSF9"
Histone methyltransferase complex,NEST:98,Histone methyltransferase complex,0,"CTNNB1,HIST3H3,KMT2C,MAGI2,TNF"
Polybromo- and BAF containing complex,NEST:92,Polybromo- and BAF containing complex,0,"BCL7A,CHD4,HDAC2,MYC"
Epigenetic modification,NEST:34,Epigenetic modification,1,"BARD1,BRD4,DNMT3A,DNMT3B,EMSY,HDAC3,HIST3H3,KDM5A,PHF6,PRDM1,RB1,SMARCA1,TERT,ZNF217"
